participant;task;stimuli;stem;affix;fs;length;zipf;r;g;b;ld;congruency;correct;type;key;accuracy;rt
1;ld;gialloso;giallo;oso;2;8;4.088.825.104;255;255;0;2;1;2;0;2;2;691
1;ld;bianchista;bianco;ista;0;10;4.744.381.459;255;255;255;5;1;2;0;2;2;1116
1;ld;biancozione;bianco;zione;1;11;4.744.381.459;255;255;255;5;1;2;0;2;2;917
1;ld;rosamento;rosa;mento;1;9;4.458.329.649;255;0;255;5;1;2;0;2;2;909
1;ld;rosatore;rosa;tore;1;8;4.458.329.649;255;0;255;4;1;2;0;2;2;902
1;ld;verdetore;verde;tore;1;9;4.586.948.127;0;153;0;4;1;2;0;2;2;941
1;ld;verdismo;verde;ismo;0;8;4.586.948.127;0;153;0;4;1;2;0;2;2;693
1;ld;bluezza;blu;ezza;1;7;464.683.347;255;0;255;4;0;2;0;2;2;693
1;ld;gialliere;giallo;iere;0;9;4.088.825.104;0;0;255;4;0;2;0;2;2;1302
1;ld;preoccupazione;0;zione;3;14;390.901;255;0;255;0;2;1;1;1;1;686
1;ld;maniere;0;iere;3;7;3.905.672;0;153;0;0;2;1;1;2;2;1742
1;ld;verderia;verde;eria;2;8;4.586.948.127;0;153;0;3;1;2;0;2;2;828
1;ld;verdetore;verde;tore;1;9;4.586.948.127;255;255;255;4;0;2;0;2;2;814
1;ld;rosezza;rosa;ezza;0;7;4.458.329.649;255;0;255;3;1;2;0;2;2;750
1;ld;pericoloso;0;oso;3;10;4.697.022;255;255;0;0;2;1;1;1;1;550
1;ld;rosiere;rosa;iere;0;7;4.458.329.649;255;0;255;4;1;2;0;2;2;1094
1;ld;giallenza;giallo;enza;0;9;4.088.825.104;255;255;0;4;1;2;0;2;2;1014
1;ld;dolcezza;0;ezza;3;8;4.313.303;255;0;255;0;2;1;1;1;1;629
1;ld;rivista;0;ista;3;7;4.188.528;255;128;0;0;2;1;1;1;1;621
1;ld;giallozione;giallo;zione;1;11;4.088.825.104;255;255;0;5;1;2;0;2;2;678
1;ld;rososo;rosa;oso;0;6;4.458.329.649;255;0;255;3;1;2;0;2;2;1094
1;ld;rosenza;rosa;enza;0;7;4.458.329.649;255;255;0;3;0;2;0;2;2;1079
1;ld;terrorismo;0;ismo;3;10;3.733.749;255;128;0;0;2;1;1;1;1;598
1;ld;bluenza;blu;enza;1;7;464.683.347;0;0;255;4;1;2;0;2;2;702
1;ld;rosenza;rosa;enza;0;7;4.458.329.649;255;0;255;3;1;2;0;2;2;775
1;ld;arancioneria;arancione;eria;2;12;3.671.648.609;255;128;0;3;1;2;0;2;2;766
1;ld;bianchista;bianco;ista;0;10;4.744.381.459;255;0;255;5;0;2;0;2;2;685
1;ld;verderia;verde;eria;2;8;4.586.948.127;255;0;255;3;0;2;0;2;2;494
1;ld;bluoso;blu;oso;1;6;464.683.347;255;0;255;3;0;2;0;2;2;598
1;ld;biancozione;bianco;zione;1;11;4.744.381.459;0;153;0;5;0;2;0;2;2;614
1;ld;verdista;verde;ista;0;8;4.586.948.127;255;0;255;4;0;2;0;2;2;486
1;ld;arancionezza;arancione;ezza;2;12;3.671.648.609;255;128;0;3;1;2;0;2;2;629
1;ld;rosabile;rosa;abile;2;8;4.458.329.649;255;255;255;4;0;2;0;2;2;782
1;ld;giallotore;giallo;tore;1;10;4.088.825.104;0;0;255;4;0;2;0;2;2;479
1;ld;batteria;0;eria;3;8;4.046.745;255;255;0;0;2;1;1;1;1;1271
1;ld;bluismo;blu;ismo;1;7;464.683.347;0;153;0;4;0;2;0;2;2;517
1;ld;stazione;0;zione;3;8;4.603.552;255;255;0;0;2;1;1;1;1;678
